subject,keyword,context,duration,maxF0,meanF0,gestured,sentence
subj1_shorten_mono,musical,not > most/many,363.993,111.8714433,106.7124056,yes,Neil doesn't enjoy most musicals
subj1_shorten_mono,musical,most/many > not,624.054,144.4563896,128.7630693,yes,Neil doesn't enjoy most musicals
subj1_shorten_mono,wool,not > all,276.678,156.9067564,140.5636013,yes,all the woollining wasn't worn
subj1_shorten_mono,alumnus,most/many > not,681.358,247.5444291,144.5283907,yes,Liam doesn't know many alumni
subj2_shorten_mono,magnolia,not > all,740.264,159.717453,135.7002949,yes,all the magnolias won't bloom
subj2_shorten_mono,magnolia,all > not,1583.92,157.7694694,140.1815844,yes,all the magnolias won't bloom
subj2_shorten_mono,eyeliner,not > all,368.221,269.444033,208.5623034,yes,all the moms didn't allow eyeliner
subj2_shorten_mono,eyeliner,all > not,624.802,142.6285085,130.122899,yes,all the moms didn't allow eyeliner
subj3_shorten_mono,magnolia,not > all,194.858,103.1685185,90.30733822,yes,all the magnolias won't bloom
subj3_shorten_mono,magnolia,all > not,821.02,108.0265503,88.23481324,yes,all the magnolias won't bloom
subj3_shorten_mono,alumnus,most/many > not,935.67,127.6241509,107.6733976,yes,Liam doesn't know many alumni
subj3_shorten_mono,alumnus,not > most/many,637.369,126.6755754,110.1009986,yes,Liam doesn't know many alumni
subj3_shorten_mono,wool,all > not,413.419,128.3115061,113.1572195,yes,all the woollining wasn't worn
subj3_shorten_mono,musical,most/many > not,1152.26,218.3366319,169.6434815,yes,Neil doesn't enjoy most musicals
subj3_shorten_mono,eyeliner,not > all,644.203,119.4727507,89.41934026,yes,all the moms didn't allow eyeliner
subj4_shorten_mono,musical,most/many > not,239.086,157.8904129,151.7805133,yes,Neil doesn't enjoy most musicals
subj4_shorten_mono,eyeliner,all > not,470.987,127.9803213,117.7936864,yes,all the moms didn't allow eyeliner
subj5_shorten_mono,magnolia,not > all,690.101,295.2082904,179.2090042,yes,all the magnolias won't bloom
subj5_shorten_mono,magnolia,all > not,1170.546,365.3565958,210.7826789,yes,all the magnolias won't bloom
subj5_shorten_mono,alumnus,most/many > not,1748.658,341.9343549,220.9702692,yes,Liam doesn't know many alumni
subj5_shorten_mono,alumnus,not > most/many,1083.656,367.880928,222.2194677,yes,Liam doesn't know many alumni
subj5_shorten_mono,wool,all > not,745.139,303.582522,192.6956206,yes,all the woollining wasn't worn
subj5_shorten_mono,wool,not > all,1326.426,358.7333586,225.4534764,yes,all the woollining wasn't worn
subj5_shorten_mono,musical,most/many > not,1921.044,356.2882759,243.1464912,yes,Neil doesn't enjoy most musicals
subj5_shorten_mono,musical,not > most/many,775.363,239.1354861,178.0086289,yes,Neil doesn't enjoy most musicals
subj5_shorten_mono,eyeliner,not > all,1107.345,230.9603875,194.0481463,yes,all the moms didn't allow eyeliner
subj5_shorten_mono,eyeliner,all > not,1484.685,250.1021459,200.3419558,yes,all the moms didn't allow eyeliner
subj6_shorten_mono,magnolia,not > all,949.614,200.7698086,123.3533329,yes,all the magnolias won't bloom
subj6_shorten_mono,magnolia,all > not,446.473,112.529927,106.0584791,yes,all the magnolias won't bloom
subj6_shorten_mono,alumnus,most/many > not,554.071,283.7725312,261.8181867,yes,Liam doesn't know many alumni
subj6_shorten_mono,alumnus,not > most/many,414.573,187.7292741,115.4677472,yes,Liam doesn't know many alumni
subj6_shorten_mono,wool,all > not,427.698,206.2284472,151.1624488,yes,all the woollining wasn't worn
subj6_shorten_mono,wool,not > all,1524.521,197.5564468,124.2183078,yes,all the woollining wasn't worn
subj6_shorten_mono,musical,most/many > not,241.051,91.7797622,91.04908911,yes,Neil doesn't enjoy most musicals
subj6_shorten_mono,musical,not > most/many,372.47,202.5285839,184.6774585,yes,Neil doesn't enjoy most musicals
subj6_shorten_mono,eyeliner,not > all,599.989,218.8402778,148.5910281,yes,all the moms didn't allow eyeliner
subj6_shorten_mono,eyeliner,all > not,755.474,327.1105128,165.7681199,yes,all the moms didn't allow eyeliner
subj7_shorten_mono,magnolia,not > all,250.666,194.6587474,156.8030657,yes,all the magnolias won't bloom
subj7_shorten_mono,magnolia,all > not,1664.256,267.7214808,216.7024667,yes,all the magnolias won't bloom
subj7_shorten_mono,alumnus,most/many > not,1131.324,272.4163821,223.9996087,yes,Liam doesn't know many alumni
