subject,sentence,context,sentence_length,maxF0,minF0,keyword,last_word_len
subj10_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2734.976,358.3593738,46.54213521,magnolia,914.766
subj10_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2617.953,285.0445066,86.60085154,magnolia,892.15
subj10_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2759.442,289.727366,161.879119,alumnus,770.628
subj10_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2909.954,313.0583755,90.22230376,alumnus,666.89
subj10_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2950.466,316.682545,63.65673685,wool,1246.03
subj10_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2387.851,339.5662839,53.26305054,wool,1137.062
subj10_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3658.831,353.5315205,128.493962,musical,955.933
subj10_shorten_mono,Neil-Topmost-Genmusical-GenenjoyNeg,not > most/many,3129.937,309.0393613,100.2322137,musical,1063.03
subj10_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3295.918,293.1414992,78.94495389,eyeliner,1120.065
subj10_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3166.621,338.0862025,52.81472331,eyeliner,1077.524
subj12_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2919.896,391.6655749,209.3646995,magnolia,956.477
subj12_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2962.548,345.0538249,182.9737639,magnolia,1010.501
subj12_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,3269.76,387.3447297,214.0422287,alumnus,729.156
subj12_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,3459.406,393.1025293,200.7705914,alumnus,761.854
subj12_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2766.217,373.3782138,146.7784369,wool,1361.062
subj12_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2900.277,417.8386745,178.3841656,wool,1615.261
subj12_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3828.665,350.2451778,100.7552713,musical,1157.495
subj12_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,4072.491,419.6103511,102.9155985,musical,1149.326
subj12_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,4008.726,393.4655194,193.8386589,eyeliner,1177.114
subj12_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3720.987,379.0548718,202.5586526,eyeliner,1347.141
subj13_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3202.687,397.3768709,46.76192798,eyeliner,996.776
subj13_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3031.481,320.5647985,133.6969935,eyeliner,982.353
subj13_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2858.57,292.8447237,181.0353996,musical,893.303
subj13_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2679.909,277.2846663,165.2593817,musical,922.472
subj13_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2256.164,295.7791921,170.4398247,wool,1176.908
subj13_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2311.65,279.8917108,90.73623409,wool,1265.108
subj13_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,3018.949,277.7935189,172.4207061,alumnus,630.731
subj13_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2757.186,277.2801831,173.2517068,alumnus,656.12
subj13_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2617.925,277.9995178,177.7443328,magnolia,918.826
subj13_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2581.653,294.4290459,131.1875068,magnolia,842.398
subj14_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2541.003,318.5836518,218.2525733,magnolia,897.528
subj14_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2460.788,347.356498,51.39663863,magnolia,781.298
subj14_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2861.863,301.448393,220.6039289,alumnus,758.161
subj14_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2581.34,348.4626483,209.8605058,alumnus,651.005
subj14_shorten_mono,all-Genwoollinng-Topwornbe-Negpast,all > not,2297.771,330.3311435,212.4760482,wool,1165.372
subj14_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2359.873,342.8384465,223.7011533,wool,1210.987
subj14_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2900.677,301.8058708,216.4455424,musical,926.354
subj14_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2574.642,322.3780158,214.3141816,musical,931.529
subj14_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,2951.988,333.8855843,106.472213,eyeliner,928.094
subj14_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,2835.987,317.6632644,219.6137723,eyeliner,1003.981
subj15_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,3923.275,282.0273487,85.31937992,magnolia,1094.087
subj15_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,3553.222,298.5285447,170.3628856,magnolia,804.019
subj15_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,4735.479,294.6017424,65.1312734,alumnus,723.434
subj15_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2842.505,269.9286472,181.9029827,alumnus,868.761
subj15_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2937.905,292.1515513,178.6403246,wool,1618.973
subj15_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2924.807,310.6889114,75.26336174,wool,1492.67
subj15_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3287.262,280.1256701,180.8477166,musical,1218.25
subj15_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,3458.421,300.7673056,92.61246787,musical,1072.262
subj15_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3785.637,335.2445013,179.4336734,eyeliner,1223.284
subj15_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,4555.771,292.4838594,92.74132239,eyeliner,1263.475
subj18_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3040.014,339.5842263,99.03164662,eyeliner,1017.922
subj18_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3304.859,325.1853221,98.35284113,eyeliner,964.591
subj18_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2822.814,317.3331715,169.6680595,musical,880.718
subj18_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3269.152,312.0554827,102.4274423,musical,892.046
subj18_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2534.887,312.8209575,180.4103463,wool,1231.984
subj18_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2473.828,361.896194,193.7536911,wool,1162.114
subj18_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2859.268,330.4168823,103.1362559,alumnus,601.017
subj18_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2859.97,342.5493706,169.0027092,alumnus,646.883
subj18_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2589.531,328.4533773,183.9097777,magnolia,924.071
subj18_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2703.622,354.9366335,183.4210613,magnolia,936.54
subj19_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2813.781,351.3991851,95.51119113,magnolia,840.446
subj19_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2882.282,346.6831694,176.7571505,magnolia,964.273
subj19_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2813.781,302.4924282,188.182853,alumnus,774.58
subj19_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2848.789,324.9109476,191.6112363,alumnus,730.549
subj19_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2730.511,335.4841136,188.6951724,wool,1195.722
subj19_shorten_mono,all-Genwoollining-Topwonrbe-Negpast,not > all,2595.33,387.5962814,93.36427697,wool,1378.133
subj19_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,3124.667,327.5744469,186.4880443,musical,1153.967
subj19_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,3350.937,345.1313293,186.0764755,musical,1237.966
